Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
Manufacturing systems engineer,Mcconnell PLC,Bangalore,Mid Level,77000,Finance,"SQL, Python, Financial Modeling"
Race relations officer,"Martin, Oneal and Baldwin",Bangalore,Entry Level,130000,Software,"C++, Java, AWS"
Electronics engineer,"Luna, Hess and Schmidt",Sydney,Mid Level,113000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care"
"Nurse, mental health",Garza-Johnson,Berlin,Mid Level,98000,Finance,Python
"Accountant, chartered","Macias, Thompson and Best",Bangalore,Entry Level,121000,Marketing,SEO
Patent examiner,Johnson-Lopez,San Francisco,Senior Level,60000,Healthcare,"Pharmaceuticals, Nursing, Medical Research, Patient Care"
Copy,"Robles, Wright and Mccoy",Berlin,Entry Level,80000,Education,"Teaching, Curriculum Design"
"Engineer, chemical","White, Sutton and Roberts",San Francisco,Mid Level,89000,Retail,Merchandising
Financial planner,Strong-Lopez,New York,Entry Level,78000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care"
"Engineer, civil (consulting)",Hogan Inc,New York,Senior Level,147000,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Investment banker, corporate",Lynch-Willis,Toronto,Entry Level,100000,Marketing,"Content Writing, SEO, Market Research, Google Ads"
Charity fundraiser,"Lara, Greene and White",London,Entry Level,82000,Finance,"SQL, Python, Excel, Risk Analysis"
"Editor, film/video","Elliott, Vasquez and Griffith",London,Entry Level,131000,Education,Curriculum Design
Exhibition designer,"Reilly, Mercado and Smith",Sydney,Mid Level,125000,Finance,"Risk Analysis, Python"
"Accountant, chartered management","Taylor, Brown and Gardner",Bangalore,Senior Level,66000,Healthcare,"Nursing, Medical Research, Patient Care"
Human resources officer,"Garcia, Faulkner and Scott",London,Senior Level,87000,Finance,"Excel, Risk Analysis"
Academic librarian,Mack-Andersen,Toronto,Mid Level,120000,Retail,Merchandising
Leisure centre manager,"Norris, Singleton and Horn",Bangalore,Mid Level,85000,Marketing,"SEO, Social Media"
"Research officer, political party",Reyes Inc,Bangalore,Mid Level,117000,Education,"EdTech, Curriculum Design, Teaching"
"Psychologist, sport and exercise",Anderson Ltd,Berlin,Entry Level,148000,Marketing,"Market Research, Social Media"
Further education lecturer,"Graham, Sheppard and Obrien",Toronto,Senior Level,107000,Healthcare,"Medical Research, Pharmaceuticals"
"Optician, dispensing",Franklin Ltd,Berlin,Entry Level,145000,Manufacturing,Supply Chain
"Investment banker, operational",Russell LLC,Bangalore,Senior Level,43000,Marketing,SEO
Patent attorney,"Lewis, Sheppard and Morgan",Toronto,Senior Level,50000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Dispensing optician,"Garcia, Rojas and Flores",Berlin,Entry Level,58000,Education,"Research, EdTech, Curriculum Design"
Psychiatric nurse,Lutz Ltd,San Francisco,Mid Level,103000,Retail,"Merchandising, Sales"
Clinical molecular geneticist,"Holder, Lee and Knight",San Francisco,Senior Level,149000,Retail,"Sales, Customer Service, Merchandising"
Charity fundraiser,"Fritz, Roberts and Berg",New York,Mid Level,52000,Software,"Python, SQL, Java"
Race relations officer,"Ortiz, Ferguson and Mercado",San Francisco,Entry Level,91000,Marketing,"Market Research, Google Ads"
Advice worker,Forbes-Duncan,Toronto,Mid Level,79000,Retail,Sales
Learning mentor,"Olson, Case and Chandler",London,Mid Level,75000,Retail,"Sales, Merchandising"
"Geologist, wellsite","Watkins, Sullivan and Brock",Bangalore,Mid Level,44000,Software,"Machine Learning, Python, Java"
Senior tax professional/tax inspector,"Hernandez, Jones and George",Toronto,Senior Level,97000,Retail,"Merchandising, Customer Service, Sales"
Heritage manager,Baxter and Sons,Bangalore,Senior Level,90000,Software,"Python, Java, Machine Learning, React"
Operations geologist,Tapia PLC,Bangalore,Entry Level,127000,Manufacturing,"Production Planning, Quality Control, Supply Chain"
"Psychologist, prison and probation services",Miller-Robinson,Berlin,Mid Level,85000,Finance,"Python, SQL, Risk Analysis, Financial Modeling"
Chartered accountant,Burton Ltd,San Francisco,Senior Level,92000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research"
Architectural technologist,"Bass, Dunn and Williams",Toronto,Mid Level,52000,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Financial risk analyst,Harris LLC,Berlin,Senior Level,119000,Marketing,Market Research
Nutritional therapist,Harper Group,Sydney,Mid Level,40000,Finance,"Excel, Risk Analysis, Python, Financial Modeling"
Paediatric nurse,Johnson-Tate,London,Entry Level,103000,Manufacturing,Quality Control
Quantity surveyor,Silva-Smith,Sydney,Senior Level,59000,Education,Curriculum Design
"Teacher, secondary school",Lynch-Woods,London,Mid Level,118000,Retail,Merchandising
Trading standards officer,Hill Inc,Toronto,Mid Level,52000,Finance,"Risk Analysis, Financial Modeling, Python"
Commissioning editor,Jackson Ltd,New York,Senior Level,140000,Software,React
Public house manager,Allison and Sons,Bangalore,Mid Level,108000,Healthcare,"Patient Care, Medical Research, Nursing, Pharmaceuticals"
Public affairs consultant,Mercer Group,Sydney,Entry Level,60000,Marketing,"Content Writing, Google Ads"
Exhibition designer,Pierce PLC,London,Mid Level,121000,Education,Teaching
Plant breeder/geneticist,Pace-Franco,San Francisco,Mid Level,138000,Software,Machine Learning
Agricultural engineer,Jackson-Lopez,Toronto,Entry Level,107000,Retail,"Sales, Merchandising"
Museum education officer,Hill-Cortez,Sydney,Entry Level,86000,Marketing,"Google Ads, Content Writing, SEO"
Estate agent,Roth and Sons,Berlin,Entry Level,73000,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Marketing executive,"Campbell, Sloan and Macdonald",Toronto,Mid Level,121000,Education,Teaching
Patent examiner,"Mendoza, Murillo and Hess",Bangalore,Mid Level,77000,Finance,"Risk Analysis, SQL"
Sports development officer,Watts Ltd,Sydney,Mid Level,61000,Manufacturing,"Production Planning, Supply Chain"
Stage manager,"Lewis, Jackson and David",London,Entry Level,121000,Software,Machine Learning
"Designer, blown glass/stained glass",Hernandez and Sons,Bangalore,Mid Level,61000,Marketing,"Market Research, SEO, Google Ads"
Tax inspector,Sullivan-Vaughn,New York,Mid Level,88000,Education,"Teaching, Curriculum Design, Research"
Building services engineer,King Ltd,San Francisco,Mid Level,128000,Healthcare,"Nursing, Pharmaceuticals, Patient Care"
Best boy,Perkins-Fowler,Berlin,Senior Level,134000,Marketing,"Content Writing, SEO, Market Research"
"Designer, exhibition/display","Gonzales, Sanchez and Hill",Sydney,Entry Level,106000,Manufacturing,"Quality Control, Supply Chain"
Quarry manager,"Edwards, Mcdowell and Benjamin",San Francisco,Senior Level,51000,Finance,"Risk Analysis, SQL"
Ecologist,Arias LLC,Toronto,Senior Level,73000,Finance,Risk Analysis
"Designer, industrial/product",Jennings PLC,Bangalore,Mid Level,72000,Healthcare,Pharmaceuticals
Science writer,Hooper-Villarreal,San Francisco,Mid Level,55000,Healthcare,"Medical Research, Patient Care, Nursing"
Horticultural consultant,"Jones, Davis and Gomez",San Francisco,Senior Level,40000,Manufacturing,Supply Chain
Chartered legal executive (England and Wales),"Burgess, Taylor and Blackburn",San Francisco,Entry Level,99000,Education,"Teaching, EdTech, Research, Curriculum Design"
Solicitor,Pierce-Allen,Sydney,Entry Level,51000,Retail,Customer Service
Public relations officer,"Martinez, Davis and Stuart",Berlin,Mid Level,108000,Retail,"Merchandising, Sales"
"Horticulturist, commercial",Hurst Ltd,San Francisco,Mid Level,78000,Education,Curriculum Design
"Psychologist, educational",Sherman Ltd,Toronto,Entry Level,121000,Retail,Customer Service
Forest/woodland manager,"Mendez, Martinez and Bowers",London,Entry Level,50000,Education,"EdTech, Research, Teaching, Curriculum Design"
"Scientist, research (life sciences)","Rose, Farmer and Holland",Toronto,Mid Level,77000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals"
"Engineer, drilling",Greer-Skinner,Sydney,Senior Level,102000,Marketing,"Market Research, SEO"
Materials engineer,Stone-Hayes,Bangalore,Senior Level,113000,Education,"Research, Teaching, Curriculum Design"
"Therapist, occupational","Hudson, Hubbard and Gonzales",Sydney,Senior Level,140000,Healthcare,Nursing
Radio broadcast assistant,Cummings Ltd,Bangalore,Mid Level,135000,Software,"Machine Learning, SQL"
Personal assistant,Williams and Sons,Bangalore,Entry Level,110000,Education,EdTech
Call centre manager,Koch-Francis,Bangalore,Mid Level,88000,Finance,Python
Chief Strategy Officer,Ruiz-Weaver,San Francisco,Entry Level,148000,Software,"Java, C++, SQL"
Equality and diversity officer,Rodriguez-Mays,Sydney,Mid Level,78000,Retail,"Customer Service, Sales"
Lexicographer,Kerr-Mcdowell,Sydney,Senior Level,87000,Healthcare,Pharmaceuticals
Teaching laboratory technician,"Haley, Welch and Welch",Bangalore,Entry Level,52000,Education,Teaching
Special effects artist,Hickman-Willis,Toronto,Entry Level,63000,Education,"Curriculum Design, Research, Teaching"
Music therapist,Roberts-Thomas,Toronto,Entry Level,144000,Retail,"Merchandising, Sales, Customer Service"
Youth worker,Gonzalez Inc,London,Entry Level,55000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing"
Theatre stage manager,Williamson-Delgado,Toronto,Senior Level,140000,Marketing,"Market Research, SEO, Content Writing, Social Media"
Illustrator,Ramirez and Sons,Sydney,Senior Level,96000,Manufacturing,"Production Planning, Quality Control"
Public affairs consultant,"Ford, Hess and Walker",Bangalore,Mid Level,81000,Software,"AWS, SQL, C++, React"
"Scientist, clinical (histocompatibility and immunogenetics)",Walker-Wheeler,Sydney,Senior Level,126000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals"
"Conservator, museum/gallery",Coleman Ltd,Berlin,Entry Level,42000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
"Designer, interior/spatial",Gray PLC,San Francisco,Entry Level,110000,Finance,Financial Modeling
Occupational therapist,Holmes LLC,London,Mid Level,99000,Software,SQL
"Development worker, community",Fitzgerald-Murray,Bangalore,Senior Level,64000,Healthcare,"Pharmaceuticals, Medical Research"
Garment/textile technologist,Williams-White,New York,Entry Level,61000,Education,"Curriculum Design, Research, EdTech, Teaching"
Hospital doctor,Bates and Sons,New York,Entry Level,45000,Finance,"Python, Risk Analysis, Financial Modeling, Excel"
Historic buildings inspector/conservation officer,"Hernandez, Carpenter and Mckinney",New York,Senior Level,51000,Retail,"Merchandising, Sales, Customer Service"
Production manager,Wood Group,Sydney,Mid Level,135000,Marketing,"Social Media, Content Writing, SEO"
Proofreader,Livingston-Watson,Bangalore,Entry Level,138000,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Engineer, agricultural","Smith, Wells and Guzman",London,Mid Level,41000,Software,Machine Learning
Purchasing manager,Lang-Dixon,Sydney,Entry Level,66000,Retail,Customer Service
Ergonomist,Lester-Lucas,Sydney,Mid Level,119000,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Freight forwarder,Miller-Paul,New York,Entry Level,119000,Healthcare,"Pharmaceuticals, Nursing"
Waste management officer,"Pierce, Ramirez and Harris",San Francisco,Entry Level,60000,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care"
Restaurant manager,Davis LLC,London,Mid Level,94000,Software,"Java, SQL"
Musician,Thomas and Sons,Toronto,Mid Level,130000,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Technical author,"Foster, Wilson and Henderson",San Francisco,Entry Level,41000,Manufacturing,"Production Planning, Supply Chain, Quality Control"
"Engineer, manufacturing systems",Spencer-Hernandez,Bangalore,Senior Level,133000,Healthcare,"Medical Research, Patient Care, Pharmaceuticals"
"Engineer, structural",Jones and Sons,San Francisco,Entry Level,102000,Finance,"SQL, Excel, Risk Analysis"
"Research officer, government",Henderson and Sons,Sydney,Senior Level,112000,Manufacturing,"Production Planning, Quality Control"
Television production assistant,Villa Ltd,Sydney,Senior Level,123000,Manufacturing,"Supply Chain, Production Planning"
"Surveyor, hydrographic",Martinez Group,Berlin,Senior Level,95000,Education,EdTech
Geoscientist,Bell-Anderson,New York,Senior Level,112000,Marketing,"SEO, Market Research, Content Writing"
Travel agency manager,Kerr-Coleman,New York,Senior Level,139000,Education,"Teaching, Research, EdTech, Curriculum Design"
Food technologist,Webster-Chang,London,Entry Level,94000,Software,Java
Patent attorney,Callahan PLC,London,Senior Level,59000,Education,EdTech
"Pharmacist, hospital",Mason-Nelson,San Francisco,Senior Level,48000,Healthcare,"Medical Research, Pharmaceuticals, Nursing, Patient Care"
Copy,Schaefer-Wilson,Toronto,Entry Level,145000,Finance,"Excel, Financial Modeling, SQL, Risk Analysis"
Control and instrumentation engineer,"Sims, Wilkerson and Anderson",Berlin,Mid Level,126000,Healthcare,"Patient Care, Nursing"
Tax adviser,"Mueller, Compton and Nguyen",San Francisco,Mid Level,79000,Marketing,"SEO, Market Research"
"Engineer, mining",Pacheco-Perez,Toronto,Mid Level,68000,Finance,"Risk Analysis, Financial Modeling, Excel"
Chiropodist,"Conrad, Lopez and Perez",Berlin,Senior Level,138000,Education,"Curriculum Design, Research, Teaching"
Ophthalmologist,"Walker, Craig and Gentry",Sydney,Senior Level,111000,Marketing,"Social Media, SEO, Google Ads"
Theatre director,Patton LLC,Berlin,Entry Level,109000,Software,"AWS, SQL"
Copy,Hayes PLC,Berlin,Entry Level,124000,Healthcare,"Patient Care, Pharmaceuticals, Nursing, Medical Research"
"Engineer, structural",Jackson-Johnson,Toronto,Mid Level,77000,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Education administrator,"Holden, Jones and Owens",London,Entry Level,119000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals"
"Surveyor, building","Williams, Lozano and Wright",Berlin,Senior Level,87000,Healthcare,Pharmaceuticals
Dietitian,Pena-Johnson,London,Mid Level,76000,Finance,"Risk Analysis, Financial Modeling, Python, Excel"
Ophthalmologist,"Martin, Williams and Rosario",San Francisco,Mid Level,149000,Finance,"Python, Risk Analysis, SQL, Excel"
Wellsite geologist,Dorsey Ltd,Sydney,Entry Level,87000,Finance,"Risk Analysis, Financial Modeling, SQL"
Trade union research officer,Nguyen-Lewis,London,Mid Level,110000,Retail,"Customer Service, Merchandising"
"Scientist, research (medical)","Higgins, Odonnell and Williams",Bangalore,Senior Level,91000,Finance,"Risk Analysis, SQL, Python"
Nutritional therapist,"Walters, French and Shaw",San Francisco,Senior Level,106000,Marketing,"SEO, Google Ads, Market Research"
"Producer, television/film/video","Hood, Wright and Rodriguez",Bangalore,Entry Level,58000,Healthcare,"Pharmaceuticals, Medical Research, Nursing"
Psychiatrist,Long PLC,London,Senior Level,91000,Finance,"SQL, Python, Financial Modeling"
"Producer, television/film/video",Garcia-Wood,Sydney,Mid Level,71000,Healthcare,"Pharmaceuticals, Patient Care"
Interior and spatial designer,Miller and Sons,Berlin,Mid Level,121000,Finance,"Python, Risk Analysis"
Speech and language therapist,Garza-Jordan,Toronto,Mid Level,145000,Healthcare,"Pharmaceuticals, Nursing, Medical Research, Patient Care"
Merchant navy officer,Warner-Rowe,Sydney,Entry Level,56000,Finance,"SQL, Excel, Risk Analysis, Python"
Futures trader,Murphy-Galvan,New York,Senior Level,79000,Finance,"SQL, Excel, Financial Modeling"
"Therapist, horticultural",Martin-Allen,San Francisco,Mid Level,117000,Education,Research
Corporate investment banker,Webb Ltd,San Francisco,Entry Level,138000,Finance,"Python, Risk Analysis, Financial Modeling, SQL"
"Conservation officer, historic buildings",Peterson-Kim,Berlin,Mid Level,63000,Education,Teaching
Private music teacher,Smith LLC,London,Entry Level,149000,Software,Machine Learning
Writer,Ruiz-Kramer,Sydney,Senior Level,67000,Manufacturing,"Production Planning, Supply Chain"
"Psychologist, sport and exercise",Guzman LLC,New York,Mid Level,143000,Marketing,"Market Research, Google Ads"
"Psychologist, clinical",Gamble-White,New York,Entry Level,44000,Manufacturing,Supply Chain
Accounting technician,Jones-Brock,Toronto,Entry Level,97000,Finance,"SQL, Risk Analysis, Excel, Python"
"Surveyor, rural practice",Short PLC,San Francisco,Senior Level,115000,Finance,"Python, Excel"
Chief Operating Officer,Neal Inc,San Francisco,Entry Level,147000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Engineer, site",Smith-Galvan,Bangalore,Senior Level,49000,Finance,"Python, SQL, Excel"
"Engineer, aeronautical","Irwin, Young and Rodriguez",New York,Mid Level,87000,Software,"SQL, Java, Python, C++"
Orthoptist,"Williamson, Rodgers and Gonzalez",Sydney,Senior Level,72000,Marketing,Google Ads
Town planner,Bond-Wall,New York,Mid Level,54000,Marketing,Google Ads
Media buyer,Stevens-Brown,San Francisco,Entry Level,78000,Retail,"Merchandising, Sales, Customer Service"
Interior and spatial designer,Johnson-Nguyen,London,Entry Level,67000,Education,"EdTech, Curriculum Design, Teaching"
Freight forwarder,Thomas-Smith,Berlin,Mid Level,141000,Education,"Research, Curriculum Design, EdTech"
Intelligence analyst,"Johnson, Johnson and Hudson",Toronto,Mid Level,110000,Software,AWS
Osteopath,Edwards LLC,Sydney,Senior Level,80000,Retail,Sales
Sports coach,Green-George,San Francisco,Mid Level,70000,Finance,"Excel, Financial Modeling"
"Clinical scientist, histocompatibility and immunogenetics",Jones-Moore,Bangalore,Mid Level,90000,Finance,"Python, Risk Analysis, Financial Modeling, Excel"
Civil Service fast streamer,"Taylor, Cooper and Oneal",London,Entry Level,63000,Software,"SQL, Python"
Chiropractor,Miller-Clark,London,Senior Level,138000,Software,"Python, React, AWS"
Haematologist,Hubbard-Harrison,Berlin,Mid Level,54000,Healthcare,"Patient Care, Pharmaceuticals, Nursing"
"Surveyor, quantity",Ingram-Merritt,Bangalore,Mid Level,101000,Education,Teaching
Control and instrumentation engineer,"Lopez, Romero and Martinez",San Francisco,Mid Level,104000,Healthcare,"Patient Care, Nursing"
Dealer,Horton-Soto,Toronto,Entry Level,44000,Finance,Risk Analysis
Banker,Peterson-Davis,San Francisco,Senior Level,110000,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Housing manager/officer,Freeman PLC,Bangalore,Mid Level,113000,Finance,"Python, SQL, Risk Analysis, Financial Modeling"
Writer,Howard-King,San Francisco,Senior Level,143000,Healthcare,Nursing
"Merchandiser, retail","Hendricks, Turner and Bennett",Berlin,Senior Level,95000,Finance,"SQL, Excel, Python, Financial Modeling"
Production manager,"Johnson, Welch and Woods",Bangalore,Mid Level,133000,Healthcare,"Patient Care, Nursing, Pharmaceuticals"
Phytotherapist,Rice-Obrien,Bangalore,Senior Level,78000,Manufacturing,Supply Chain
Farm manager,Salinas-Watson,San Francisco,Entry Level,113000,Marketing,Google Ads
Contracting civil engineer,Warren Group,Toronto,Mid Level,105000,Finance,Financial Modeling
"Engineer, chemical",Edwards and Sons,London,Entry Level,55000,Education,"Research, EdTech, Teaching"
Holiday representative,Velasquez-Morris,London,Senior Level,120000,Marketing,"SEO, Market Research, Content Writing, Social Media"
Probation officer,Ruiz-Garcia,Sydney,Senior Level,61000,Healthcare,Pharmaceuticals
"Surveyor, planning and development",Anderson-Hernandez,London,Entry Level,112000,Software,"React, SQL, Machine Learning, Python"
Arts administrator,"Wright, Walker and Perez",New York,Senior Level,78000,Manufacturing,"Production Planning, Supply Chain"
Sports therapist,Phillips Inc,New York,Mid Level,150000,Software,"SQL, React, Machine Learning"
"Designer, industrial/product",Hartman-Mcfarland,London,Mid Level,147000,Education,"Curriculum Design, Teaching, EdTech"
"Biochemist, clinical",Martinez Inc,Bangalore,Senior Level,67000,Finance,"Python, Risk Analysis, SQL"
Paediatric nurse,King-King,Toronto,Mid Level,55000,Marketing,"Content Writing, Google Ads"
Automotive engineer,Reid-Gutierrez,Berlin,Mid Level,74000,Marketing,SEO
"Investment banker, corporate",Frost-May,Bangalore,Mid Level,104000,Retail,Sales
Chief Strategy Officer,"Coleman, Lewis and Smith",Bangalore,Mid Level,87000,Finance,Excel
Sports therapist,Green-Gardner,Sydney,Mid Level,71000,Finance,Financial Modeling
Secondary school teacher,Short PLC,Bangalore,Entry Level,68000,Retail,"Customer Service, Sales, Merchandising"
Veterinary surgeon,Santiago Inc,Bangalore,Entry Level,125000,Finance,"Risk Analysis, Python, Excel"
Claims inspector/assessor,Adams-Ortiz,Berlin,Mid Level,43000,Finance,Risk Analysis
Computer games developer,Thomas-Wong,Toronto,Mid Level,92000,Manufacturing,Quality Control
Risk analyst,Baxter and Sons,Berlin,Entry Level,47000,Software,"Machine Learning, Java"
Computer games developer,"Humphrey, Knight and Smith",Toronto,Entry Level,138000,Healthcare,Medical Research
Hospital doctor,"Baker, Barker and Murray",Bangalore,Mid Level,105000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Public affairs consultant,"Ramos, Miller and Williams",New York,Mid Level,59000,Software,"C++, Machine Learning"
Learning disability nurse,Alvarez-Skinner,Toronto,Senior Level,142000,Retail,Sales
Environmental education officer,"Phillips, Hardin and Smith",Berlin,Entry Level,144000,Healthcare,"Nursing, Pharmaceuticals"
Copy,Washington-Guzman,Sydney,Entry Level,79000,Manufacturing,Production Planning
Catering manager,"Watson, Rowe and Terrell",Sydney,Senior Level,132000,Software,React
Medical physicist,Ross-Valencia,New York,Senior Level,49000,Retail,"Sales, Merchandising"
"Engineer, electrical",Mcgee PLC,London,Senior Level,84000,Finance,"SQL, Financial Modeling, Python, Risk Analysis"
Systems developer,"Jensen, Jackson and Reed",Berlin,Senior Level,77000,Software,"Python, Java, Machine Learning"
